from,full_desc,source,source_desc,sector,sector_desc,units_abbv,units
JFTCB,jet fuel total consumption,JF,jet fuel,TC,total consumption,B,billion btu
JFTCD,"jet fuel average price, all sectors",JF,jet fuel,TC,total consumption,D,dollars per million btu
JFTCP,jet fuel total consumption,JF,jet fuel,TC,total consumption,P,thousand barrels
JFTCV,jet fuel total expenditures,JF,jet fuel,TC,total consumption,V,million dollars
JFTXB,jet fuel total end-use consumption,JF,jet fuel,TX,all end-use sectors,B,billion btu
JFTXD,"jet fuel average price, all end-use sectors",JF,jet fuel,TX,all end-use sectors,D,dollars per million btu
JFTXP,jet fuel total end-use consumption,JF,jet fuel,TX,all end-use sectors,P,thousand barrels
JFTXV,jet fuel total end-use expenditures,JF,jet fuel,TX,all end-use sectors,V,million dollars
KSCCB,kerosene consumed by the commercial sector,KS,kerosene,CC,commercial sector,B,billion btu
KSCCD,kerosene price in the commercial sector,KS,kerosene,CC,commercial sector,D,dollars per million btu
KSCCP,kerosene consumed by the commercial sector,KS,kerosene,CC,commercial sector,P,thousand barrels
KSCCV,kerosene expenditures in the commercial sector,KS,kerosene,CC,commercial sector,V,million dollars
KSICB,kerosene consumed by the industrial sector,KS,kerosene,IC,industrial sector,B,billion btu
KSICD,kerosene price in the industrial sector,KS,kerosene,IC,industrial sector,D,dollars per million btu
KSICP,kerosene consumed by the industrial sector,KS,kerosene,IC,industrial sector,P,thousand barrels
KSICV,kerosene expenditures in the industrial sector,KS,kerosene,IC,industrial sector,V,million dollars
KSRCB,kerosene consumed by the residential sector,KS,kerosene,RC,residential sector,B,billion btu
KSRCD,kerosene price in the residential sector,KS,kerosene,RC,residential sector,D,dollars per million btu
KSRCP,kerosene consumed by the residential sector,KS,kerosene,RC,residential sector,P,thousand barrels
KSRCV,kerosene expenditures in the residential sector,KS,kerosene,RC,residential sector,V,million dollars
KSTCB,kerosene total consumption,KS,kerosene,TC,total consumption,B,billion btu
KSTCD,"kerosene average price, all sectors",KS,kerosene,TC,total consumption,D,dollars per million btu
KSTCP,kerosene total consumption,KS,kerosene,TC,total consumption,P,thousand barrels
KSTCV,kerosene total expenditures,KS,kerosene,TC,total consumption,V,million dollars
KSTXB,kerosene total end-use consumption,KS,kerosene,TX,all end-use sectors,B,billion btu
KSTXD,"kerosene average price, all end-use sectors",KS,kerosene,TX,all end-use sectors,D,dollars per million btu
KSTXP,kerosene total end-use consumption,KS,kerosene,TX,all end-use sectors,P,thousand barrels
KSTXV,kerosene total end-use expenditures,KS,kerosene,TX,all end-use sectors,V,million dollars
LOACB,the transportation sector's share of electrical system energy losses,LO,electrical system energy losses,AC,transportation sector,B,billion btu
LOCCB,the commercial sector's share of electrical system energy losses,LO,electrical system energy losses,CC,commercial sector,B,billion btu
LOICB,the industrial sector's share of electrical system energy losses,LO,electrical system energy losses,IC,industrial sector,B,billion btu
LORCB,the residential sector's share of electrical system energy losses,LO,electrical system energy losses,RC,residential sector,B,billion btu
LOTCB,total electrical system energy losses,LO,electrical system energy losses,TC,total consumption,B,billion btu
LOTXB,total electrical system energy losses allocated to the end-use sectors,LO,electrical system energy losses,TX,all end-use sectors,B,billion btu
LUACB,lubricants consumed by the transportation sector,LU,lubricants,AC,transportation sector,B,billion btu
LUACD,lubricants price in the transportation sector,LU,lubricants,AC,transportation sector,D,dollars per million btu
LUACP,lubricants consumed by the transportation sector,LU,lubricants,AC,transportation sector,P,thousand barrels
LUACV,lubricants expenditures in the transportation sector,LU,lubricants,AC,transportation sector,V,million dollars
LUICB,lubricants consumed by the industrial sector,LU,lubricants,IC,industrial sector,B,billion btu
LUICD,lubricants price in the industrial sector,LU,lubricants,IC,industrial sector,D,dollars per million btu
LUICP,lubricants consumed by the industrial sector,LU,lubricants,IC,industrial sector,P,thousand barrels
LUICV,lubricants expenditures in the industrial sector,LU,lubricants,IC,industrial sector,V,million dollars
LUTCB,lubricants total consumption,LU,lubricants,TC,total consumption,B,billion btu
LUTCD,"lubricants average price, all sectors",LU,lubricants,TC,total consumption,D,dollars per million btu
LUTCP,lubricants total consumption,LU,lubricants,TC,total consumption,P,thousand barrels
LUTCV,"lubricants average price, all sectors",LU,lubricants,TC,total consumption,V,million dollars
LUTXB,lubricants total end-use consumption,LU,lubricants,TX,all end-use sectors,B,billion btu
LUTXD,"lubricants average price, all end-use sectors",LU,lubricants,TX,all end-use sectors,D,dollars per million btu
LUTXP,lubricants total end-use consumption,LU,lubricants,TX,all end-use sectors,P,thousand barrels
LUTXV,lubricants total end-use expenditures,LU,lubricants,TX,all end-use sectors,V,million dollars
MBICB,motor gasoline blending components consumed by the industrial sector,MB,motor gasoline blending components,IC,industrial sector,B,billion btu
MBICP,motor gasoline blending components consumed by the industrial sector,MB,motor gasoline blending components,IC,industrial sector,P,thousand barrels
MBTCK,"factor converting motor gasoline blending components physical units to btu, united states only",MB,motor gasoline blending components,TC,total consumption,K,million btu per barrel
MGACB,motor gasoline consumed by the transportation sector,MG,motor gasoline consumed,AC,transportation sector,B,billion btu
MGACD,motor gasoline price in the transportation sector,MG,motor gasoline consumed,AC,transportation sector,D,dollars per million btu
MGACP,motor gasoline consumed by the transportation sector,MG,motor gasoline consumed,AC,transportation sector,P,thousand barrels
MGACV,motor gasoline expenditures in the transportation sector,MG,motor gasoline consumed,AC,transportation sector,V,million dollars
MGCCB,motor gasoline consumed by the commercial sector,MG,motor gasoline consumed,CC,commercial sector,B,billion btu
MGCCD,motor gasoline price in the commercial sector,MG,motor gasoline consumed,CC,commercial sector,D,dollars per million btu
MGCCP,motor gasoline consumed by the commercial sector,MG,motor gasoline consumed,CC,commercial sector,P,thousand barrels
MGCCV,motor gasoline expenditures in the commercial sector,MG,motor gasoline consumed,CC,commercial sector,V,million dollars
MGICB,motor gasoline consumed by the industrial sector,MG,motor gasoline consumed,IC,industrial sector,B,billion btu
MGICD,motor gasoline price in the industrial sector,MG,motor gasoline consumed,IC,industrial sector,D,dollars per million btu
MGICP,motor gasoline consumed by the industrial sector,MG,motor gasoline consumed,IC,industrial sector,P,thousand barrels
MGICV,motor gasoline expenditures in the industrial sector,MG,motor gasoline consumed,IC,industrial sector,V,million dollars
MGTCB,motor gasoline total consumption,MG,motor gasoline consumed,TC,total consumption,B,billion btu
MGTCD,"motor gasoline average price, all sectors",MG,motor gasoline consumed,TC,total consumption,D,dollars per million btu
MGTCK,"factor converting motor gasoline physical units to btu, united states only",MG,motor gasoline consumed,TC,total consumption,K,million btu per barrel
MGTCP,motor gasoline total consumption,MG,motor gasoline consumed,TC,total consumption,P,thousand barrels
MGTCV,motor gasoline total expenditures,MG,motor gasoline consumed,TC,total consumption,V,million dollars
MGTPV,motor gasoline expenditures per capita,MG,motor gasoline consumed,TP,total per capita,V,dollars
MGTXB,motor gasoline total end-use consumption,MG,motor gasoline consumed,TX,all end-use sectors,B,billion btu
MGTXD,"motor gasoline average price, all end-use sectors",MG,motor gasoline consumed,TX,all end-use sectors,D,dollars per million btu
MGTXP,motor gasoline total end-use consumption,MG,motor gasoline consumed,TX,all end-use sectors,P,thousand barrels
MGTXV,motor gasoline total end-use expenditures,MG,motor gasoline consumed,TX,all end-use sectors,V,million dollars
MMTCB,motor gasoline total consumption excluding fuel ethanol,MM,motor gasoline excluding fuel ethanol,TC,total consumption,B,billion btu
MSICB,miscellaneous petroleum products consumed by the industrial sector,MS,miscellaneous petroleum products,IC,industrial sector,B,billion btu
MSICD,miscellaneous petroleum products price in the industrial sector,MS,miscellaneous petroleum products,IC,industrial sector,D,dollars per million btu
MSICP,miscellaneous petroleum products consumed by the industrial sector,MS,miscellaneous petroleum products,IC,industrial sector,P,thousand barrels
MSICV,miscellaneous petroleum products expenditures in the industrial sector,MS,miscellaneous petroleum products,IC,industrial sector,V,million dollars
NAICB,natural gasoline consumed by the industrial sector (through 1983),NA,natural gasoline,IC,industrial sector,B,billion btu
NAICP,natural gasoline consumed by the industrial sector (through 1983),NA,natural gasoline,IC,industrial sector,P,thousand barrels
NGACB,natural gas consumed by the transportation sector ,NG,natural gas,AC,transportation sector,B,billion btu
NGACD,natural gas price in the transportation sector,NG,natural gas,AC,transportation sector,D,dollars per million btu
NGACP,natural gas consumed by the transportation sector,NG,natural gas,AC,transportation sector,P,million cubic feet
NGACV,natural gas expenditures in the transportation sector,NG,natural gas,AC,transportation sector,V,million dollars
NGASB,natural gas consumed by the transportation sector adjusted for process fuel,NG,natural gas,AS,transportation sector adjusted for process fuel,B,billion btu
NGCCB,natural gas consumed by (delivered to) the commercial sector,NG,natural gas,CC,commercial sector,B,billion btu
NGCCD,natural gas price in the commercial sector,NG,natural gas,CC,commercial sector,D,dollars per million btu
NGCCP,natural gas consumed by (delivered to) the commercial sector,NG,natural gas,CC,commercial sector,P,million cubic feet
NGCCV,natural gas expenditures in the commercial sector,NG,natural gas,CC,commercial sector,V,million dollars
NGEIB,natural gas consumed by the electric power sector,NG,natural gas,EI,electric power sector,B,billion btu
NGEID,natural gas price in the electric power sector,NG,natural gas,EI,electric power sector,D,dollars per million btu
NGEIK,factor for converting natural gas consumed by the electric power sector from physical units to btu,NG,natural gas,EI,electric power sector,K,thousand btu per cubic foot
NGEIP,natural gas consumed by the electric power sector,NG,natural gas,EI,electric power sector,P,million cubic feet
NGEIV,natural gas expenditures in the electric power sector,NG,natural gas,EI,electric power sector,V,million dollars
NGICB,natural gas consumed by (delivered to) the industrial sector,NG,natural gas,IC,industrial sector,B,billion btu
NGICD,natural gas price in the industrial sector,NG,natural gas,IC,industrial sector,D,dollars per million btu
NGICP,natural gas consumed by (delivered to) the industrial sector,NG,natural gas,IC,industrial sector,P,million cubic feet
NGICV,natural gas expenditures in the industrial sector,NG,natural gas,IC,industrial sector,V,million dollars
NGISB,natural gas consumed by the industrial sector excluding refinery fuel,NG,natural gas,IS,industrial sector excluding refinery fuel,B,billion btu
NGLPB,natural gas consumed as lease and plant fuel,NG,natural gas,LP,lease and plant fuel,B,billion btu
NGMPB,natural gas marketed production,NG,natural gas,MP,natural gas marketed production,B,billion btu
NGMPK,conversion factor for natural gas marketed production,NG,natural gas,MP,natural gas marketed production,K,thousand btu per cubic feet
NGMPP,natural gas marketed production,NG,natural gas,MP,natural gas marketed production,P,million cubic feet
NGPZB,natural gas for pipeline and distribution use,NG,natural gas,PZ,pipeline and distribution use,B,billion btu
NGRCB,natural gas consumed by (delivered to) the residential sector,NG,natural gas,RC,residential sector,B,billion btu
NGRCD,natural gas price in the residential sector,NG,natural gas,RC,residential sector,D,dollars per million btu
NGRCP,natural gas consumed by (delivered to) the residential sector,NG,natural gas,RC,residential sector,P,million cubic feet
NGRCV,natural gas expenditures in the residential sector,NG,natural gas,RC,residential sector,V,million dollars
NGRFB,natural gas consumed as refinery fuel ,NG,natural gas,RF,refinery fuel,B,billion btu
NGSCB,natural gas total consumption adjusted for process fuel,NG,natural gas,SC,total primary energy and electricity consumed,B,billion btu
NGTCB,natural gas total consumption,NG,natural gas,TC,total consumption,B,billion btu
NGTCD,"natural gas average price, all sectors",NG,natural gas,TC,total consumption,D,dollars per million btu
NGTCK,factor for converting natural gas total consumption from physical units to btu,NG,natural gas,TC,total consumption,K,thousand btu per cubic foot
NGTCP,natural gas total consumption,NG,natural gas,TC,total consumption,P,million cubic feet
NGTCV,natural gas total expenditures,NG,natural gas,TC,total consumption,V,million dollars
NGTXB,natural gas total end-use consumption,NG,natural gas,TX,all end-use sectors,B,billion btu
NGTXD,"natural gas average price, all end-use sectors",NG,natural gas,TX,all end-use sectors,D,dollars per million btu
NGTXK,factor for converting natural gas consumed by all sectors other than electric power from physical units to btu,NG,natural gas,TX,all end-use sectors,K,thousand btu per cubic foot
NGTXP,natural gas total end-use consumption,NG,natural gas,TX,all end-use sectors,P,million cubic feet
NGTXV,natural gas total end-use expenditures,NG,natural gas,TX,all end-use sectors,V,million dollars
NNTCB,natural gas total consumption (excluding supplemental gaseous fuels),NN,natural gas total (excluding supplemental gaseous fuels),TC,total consumption,B,billion btu
NUEGB,nuclear energy consumed for electricity generation by the electric power sector,NU,nuclear energy,EG,electric power sector,B,billion btu
NUEGD,nuclear fuel price in the electric power sector,NU,nuclear energy,EG,electric power sector,D,dollars per million btu
NUEGP,nuclear electricity net generation in the electric power sector,NU,nuclear energy,EG,electric power sector,P,million kilowatthours
NUEGV,nuclear fuel expenditures in the electric power sector,NU,nuclear energy,EG,electric power sector,V,million dollars
NUETB,"nuclear energy consumed for electricity generation, total",NU,nuclear energy,ET,miscellaneous,B,billion btu
NUETD,"nuclear fuel average price, all sectors",NU,nuclear energy,ET,miscellaneous,D,dollars per million btu
NUETK,"factor for converting electricity generated from nuclear power from physical units to btu, united states only",NU,nuclear energy,ET,miscellaneous,K,thousand btu per kilowatthour
NUETP,nuclear electricity total net generation,NU,nuclear energy,ET,miscellaneous,P,million kilowatthours
NUETV,nuclear fuel total expenditures,NU,nuclear energy,ET,miscellaneous,V,million dollars
OHICD,other hydrocarbon gas liquids (other than propane) price in the industrial sector,OH,other hydrocarbon gas liquids (other than propane),IC,industrial sector,D,dollars per million btu
OHICV,other hydrocarbon gas liquids (other than propane) expenditures in the industrial sector,OH,other hydrocarbon gas liquids (other than propane),IC,industrial sector,V,million dollars
OPICB,other petroleum products consumed by the industrial sector,OP,other petroleum products,IC,industrial sector,B,billion btu
OPICD,other petroleum products average price in the industrial sector,OP,other petroleum products,IC,industrial sector,D,dollars per million btu
OPICP,other petroleum products consumed by the industrial sector,OP,other petroleum products,IC,industrial sector,P,thousand barrels
OPICV,other petroleum products total expenditures in the industrial sector,OP,other petroleum products,IC,industrial sector,V,million dollars
OPISB,other petroleum products consumed by the industrial sector excluding refinery fuel and intermediate products,OP,other petroleum products,IS,industrial sector excluding refinery fuel,B,billion btu
OPSCB,other petroleum products total consumption adjusted for refinery fuel and intermediate products,OP,other petroleum products,SC,total primary energy and electricity consumed,B,billion btu
OPTCB,other petroleum products total consumption,OP,other petroleum products,TC,total consumption,B,billion btu
OPTCD,"other petroleum products average price, all sectors",OP,other petroleum products,TC,total consumption,D,dollars per million btu
OPTCP,other petroleum products total consumption,OP,other petroleum products,TC,total consumption,P,thousand barrels
OPTCV,other petroleum products total expenditures,OP,other petroleum products,TC,total consumption,V,million dollars
OPTXB,other petroleum products total end-use consumption,OP,other petroleum products,TX,all end-use sectors,B,billion btu
OPTXD,"other petroleum products average price, all end-use sectors",OP,other petroleum products,TX,all end-use sectors,D,dollars per million btu
OPTXP,other petroleum products total end-use consumption,OP,other petroleum products,TX,all end-use sectors,P,thousand barrels
OPTXV,other petroleum products total end-use expenditures,OP,other petroleum products,TX,all end-use sectors,V,million dollars
P1ICB,"asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" consumed by the industrial sector",P1,"asphalt and road oil, kerosene, lubricants, petroleum coke, and other petroleum products",IC,industrial sector,B,billion btu
P1ICD,"asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" average price in the  industrial sector",P1,"asphalt and road oil, kerosene, lubricants, petroleum coke, and other petroleum products",IC,industrial sector,D,dollars per million btu
P1ICP,"asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" consumed by the industrial sector",P1,"asphalt and road oil, kerosene, lubricants, petroleum coke, and other petroleum products",IC,industrial sector,P,thousand barrels
P1ICV,"asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" expenditures in the  industrial sector",P1,"asphalt and road oil, kerosene, lubricants, petroleum coke, and other petroleum products",IC,industrial sector,V,million dollars
P1ISB,"asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" consumed by the industrial sector excluding refinery fuel and intermediate products",P1,"asphalt and road oil, kerosene, lubricants, petroleum coke, and other petroleum products",IS,industrial sector excluding refinery fuel,B,billion btu
P1SCB,"asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total consumption adjusted for process fuel and intermediate products",P1,"asphalt and road oil, kerosene, lubricants, petroleum coke, and other petroleum products",SC,total primary energy and electricity consumed,B,billion btu
P1TCB,"asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total consumption",P1,"asphalt and road oil, kerosene, lubricants, petroleum coke, and other petroleum products",TC,total consumption,B,billion btu
P1TCD,"asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" average price, all sectors",P1,"asphalt and road oil, kerosene, lubricants, petroleum coke, and other petroleum products",TC,total consumption,D,dollars per million btu
P1TCP,"asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total consumption",P1,"asphalt and road oil, kerosene, lubricants, petroleum coke, and other petroleum products",TC,total consumption,P,thousand barrels
P1TCV,"asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total expenditures",P1,"asphalt and road oil, kerosene, lubricants, petroleum coke, and other petroleum products",TC,total consumption,V,million dollars
P1TXB,"asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total end-use consumption",P1,"asphalt and road oil, kerosene, lubricants, petroleum coke, and other petroleum products",TX,all end-use sectors,B,billion btu
P1TXD,"asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" average price, all end-use sectors",P1,"asphalt and road oil, kerosene, lubricants, petroleum coke, and other petroleum products",TX,all end-use sectors,D,dollars per million btu
P1TXP,"asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total end-use consumption",P1,"asphalt and road oil, kerosene, lubricants, petroleum coke, and other petroleum products",TX,all end-use sectors,P,thousand barrels
P1TXV,"asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total end-use expenditures",P1,"asphalt and road oil, kerosene, lubricants, petroleum coke, and other petroleum products",TX,all end-use sectors,V,million dollars
P5RFB,"other petroleum products (sg and pc consumed as process fuel and ab, mb, pp, and uo consumed as intermediate products)",P5,other petroleum products,RF,refinery fuel,B,billion btu
PAACB,all petroleum products consumed by the transportation sector,PA,all petroleum products,AC,transportation sector,B,billion btu
PAACD,all petroleum products average price in the transportation sector,PA,all petroleum products,AC,transportation sector,D,dollars per million btu
PAACK,"factor for converting all petroleum products consumed by the transportation sector from physical units to btu, united states only",PA,all petroleum products,AC,transportation sector,K,million btu per barrel
PAACP,all petroleum products consumed by the transportation sector,PA,all petroleum products,AC,transportation sector,P,thousand barrels
PAACV,all petroleum products total expenditures in the transportation sector,PA,all petroleum products,AC,transportation sector,V,million dollars
PACCB,all petroleum products consumed by the commercial sector,PA,all petroleum products,CC,commercial sector,B,billion btu
PACCD,all petroleum products average price in the commercial sector,PA,all petroleum products,CC,commercial sector,D,dollars per million btu
PACCK,"factor for converting all petroleum products consumed by the commercial sector from physical units to btu, united states only",PA,all petroleum products,CC,commercial sector,K,million btu per barrel
PACCP,all petroleum products consumed by the commercial sector,PA,all petroleum products,CC,commercial sector,P,thousand barrels
PACCV,all petroleum products total expenditures in the commercial sector,PA,all petroleum products,CC,commercial sector,V,million dollars
PAEIB,all petroleum products consumed by the electric power sector,PA,all petroleum products,EI,electric power sector,B,billion btu
PAEID,all petroleum products average price in the electric power sector,PA,all petroleum products,EI,electric power sector,D,dollars per million btu
PAEIK,"factor for converting all petroleum products consumed by the electric power sector from physical units to btu, united states only",PA,all petroleum products,EI,electric power sector,K,million btu per barrel
PAEIP,all petroleum products consumed by the electric power sector,PA,all petroleum products,EI,electric power sector,P,thousand barrels
PAEIV,all petroleum products total expenditures in the electric power sector,PA,all petroleum products,EI,electric power sector,V,million dollars
PAICB,all petroleum products consumed by the industrial sector,PA,all petroleum products,IC,industrial sector,B,billion btu
PAICD,all petroleum products average price in the industrial sector,PA,all petroleum products,IC,industrial sector,D,dollars per million btu
PAICK,"factor for converting all petroleum products consumed by the industrial sector from physical units to btu, united states only",PA,all petroleum products,IC,industrial sector,K,million btu per barrel
PAICP,all petroleum products consumed by the industrial sector,PA,all petroleum products,IC,industrial sector,P,thousand barrels
PAICV,all petroleum products total expenditures in the industrial sector,PA,all petroleum products,IC,industrial sector,V,million dollars
PAISB,all petroleum products consumed by the industrial sector excluding process fuel and intermediate products,PA,all petroleum products,IS,industrial sector excluding refinery fuel,B,billion btu
PAPRB,crude oil production (including lease condensate),PA,all petroleum products,PR,production,B,billion btu
PAPRP,crude oil production (including lease condensate),PA,all petroleum products,PR,production,P,thousand barrels
PARCB,all petroleum products consumed by the residential sector,PA,all petroleum products,RC,residential sector,B,billion btu
PARCD,all petroleum products average price in the residential sector,PA,all petroleum products,RC,residential sector,D,dollars per million btu
PARCK,"factor for converting all petroleum products consumed by the residential sector from physical units to btu, united states only",PA,all petroleum products,RC,residential sector,K,million btu per barrel
PARCP,all petroleum products consumed by the residential sector,PA,all petroleum products,RC,residential sector,P,thousand barrels
PARCV,all petroleum products total expenditures in the residential sector,PA,all petroleum products,RC,residential sector,V,million dollars
PASCB,all petroleum products total consumption adjusted for process fuel and intermediate products,PA,all petroleum products,SC,total primary energy and electricity consumed,B,billion btu
PATCB,all petroleum products total consumption,PA,all petroleum products,TC,total consumption,B,billion btu
PATCD,"all petroleum products average price, all sectors",PA,all petroleum products,TC,total consumption,D,dollars per million btu
PATCK,"factor for converting all petroleum products total consumption from physical units to btu, united states only",PA,all petroleum products,TC,total consumption,K,million btu per barrel
PATCP,all petroleum products total consumption,PA,all petroleum products,TC,total consumption,P,thousand barrels
PATCV,all petroleum products total expenditures,PA,all petroleum products,TC,total consumption,V,million dollars
PATXB,all petroleum products total end-use consumption,PA,all petroleum products,TX,all end-use sectors,B,billion btu
PATXD,"all petroleum products average price, all end-use sectors",PA,all petroleum products,TX,all end-use sectors,D,dollars per million btu
PATXP,all petroleum products total end-use consumption,PA,all petroleum products,TX,all end-use sectors,P,thousand barrels
PATXV,all petroleum products total end-use expenditures,PA,all petroleum products,TX,all end-use sectors,V,million dollars
PCCCB,petroleum coke consumed by the commercial sector,PC,petroleum coke,CC,commercial sector,B,billion btu
PCCCD,petroleum coke price in the commercial sector,PC,petroleum coke,CC,commercial sector,D,dollars per million btu
PCCCP,petroleum coke consumed by the commercial sector,PC,petroleum coke,CC,commercial sector,P,thousand barrels
PCCCV,petroleum coke expenditures in the commercial sector,PC,petroleum coke,CC,commercial sector,V,million dollars
PCCTK,"factor converting petroleum coke, catalyst coke physical units to btu, united states only",PC,petroleum coke,CT,"factor converting petroleum coke, catalyst coke physical units to btu",K,million btu per barrel
PCEIB,petroleum coke consumed by the electric power sector,PC,petroleum coke,EI,electric power sector,B,billion btu
PCEID,petroleum coke price in the electric power sector,PC,petroleum coke,EI,electric power sector,D,dollars per million btu
PCEIP,petroleum coke consumed by the electric power sector,PC,petroleum coke,EI,electric power sector,P,thousand barrels
PCEIV,petroleum coke expenditures in the electric power sector,PC,petroleum coke,EI,electric power sector,V,million dollars
PCICB,petroleum coke consumed by the industrial sector,PC,petroleum coke,IC,industrial sector,B,billion btu
PCICD,petroleum coke price in the industrial sector,PC,petroleum coke,IC,industrial sector,D,dollars per million btu
PCICP,petroleum coke consumed by the industrial sector,PC,petroleum coke,IC,industrial sector,P,thousand barrels
PCICV,petroleum coke expenditures in the industrial sector,PC,petroleum coke,IC,industrial sector,V,million dollars
PCISB,petroleum coke consumed by the industrial sector excluding refinery fuel,PC,petroleum coke,IS,industrial sector excluding refinery fuel,B,billion btu
PCMKK,"factor converting petroleum coke, marketable coke physical units to btu, united states only",PC,petroleum coke,MK,marketable coke physical units to btu,K,million btu per barrel
PCRFB,petroleum coke consumed as refinery fuel,PC,petroleum coke,RF,refinery fuel,B,billion btu
PCSCB,petroleum coke total consumption adjusted for process fuel,PC,petroleum coke,SC,total primary energy and electricity consumed,B,billion btu
PCTCB,petroleum coke total consumption,PC,petroleum coke,TC,total consumption,B,billion btu
PCTCD,"petroleum coke average price, all sectors",PC,petroleum coke,TC,total consumption,D,dollars per million btu
PCTCP,petroleum coke total consumption,PC,petroleum coke,TC,total consumption,P,thousand barrels
PCTCV,petroleum coke total expenditures,PC,petroleum coke,TC,total consumption,V,million dollars
PCTXB,petroleum coke total end-use consumption,PC,petroleum coke,TX,all end-use sectors,B,billion btu
PCTXD,"petroleum coke average price, all end-use sectors",PC,petroleum coke,TX,all end-use sectors,D,dollars per million btu
PCTXP,petroleum coke total end-use consumption,PC,petroleum coke,TX,all end-use sectors,P,thousand barrels
PCTXV,petroleum coke total end-use expenditures,PC,petroleum coke,TX,all end-use sectors,V,million dollars
PEACD,primary energy average price in the transportation sector,PE,primary energy,AC,transportation sector,D,dollars per million btu
PEACV,primary energy total expenditures in the transportation sector,PE,primary energy,AC,transportation sector,V,million dollars
PEASB,"primary energy consumed by the transportation sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",PE,primary energy,AS,transportation sector adjusted for process fuel,B,billion btu
PECCD,primary energy average price in the commercial sector,PE,primary energy,CC,commercial sector,D,dollars per million btu
PECCV,primary energy total expenditures in the commercial sector,PE,primary energy,CC,commercial sector,V,million dollars
PECSB,"primary energy consumed by the commercial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",PE,primary energy,CS,commercial sector (at cost),B,billion btu
PEEID,primary energy average price in the electric power sector,PE,primary energy,EI,electric power sector,D,dollars per million btu
PEEIV,primary energy total expenditures in the electric power sector,PE,primary energy,EI,electric power sector,V,million dollars
PEICD,primary energy average price in the industrial sector,PE,primary energy,IC,industrial sector,D,dollars per million btu
PEICV,primary energy total expenditures in the industrial sector,PE,primary energy,IC,industrial sector,V,million dollars
PEISB,"primary energy consumed by the industrial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",PE,primary energy,IS,industrial sector excluding refinery fuel,B,billion btu
PERCD,primary energy average price in the residential sector,PE,primary energy,RC,residential sector,D,dollars per million btu
PERCV,primary energy total expenditures in the residential sector,PE,primary energy,RC,residential sector,V,million dollars
PERSB,"primary energy consumed by the residential sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",PE,primary energy,RS,residential sector at a cost,B,billion btu
PESCB,"primary energy total consumption, adjusted for process fuel, intermediate products, and fuels with no direct cost",PE,primary energy,SC,total primary energy and electricity consumed,B,billion btu
PETCD,"primary energy average price, all sectors",PE,primary energy,TC,total consumption,D,dollars per million btu
PETCV,primary energy total expenditures,PE,primary energy,TC,total consumption,V,million dollars
PETXD,"primary energy average price, all end-use sectors",PE,primary energy,TX,all end-use sectors,D,dollars per million btu
PETXV,primary energy total end-use expenditures,PE,primary energy,TX,all end-use sectors,V,million dollars
PLICB,plant condensate consumed by the industrial sector,PL,plant condensate,IC,industrial sector,B,billion btu
PLICP,plant condensate consumed by the industrial sector,PL,plant condensate,IC,industrial sector,P,thousand barrels
PMTCB,all petroleum products total consumption excluding fuel ethanol,PM,all petroleum products,TC,total consumption,B,billion btu
PPICB,natural gasoline (pentanes plus) consumed by the industrial sector,PP,natural gasoline (pentanes plus),IC,industrial sector,B,billion btu
PPICP,natural gasoline (pentanes plus) consumed by the industrial sector,PP,natural gasoline (pentanes plus),IC,industrial sector,P,thousand barrels
PPTCB,natural gasoline (pentanes plus) total consumption,PP,natural gasoline (pentanes plus),TC,total consumption,B,billion btu
PPTCP,natural gasoline (pentanes plus) total consumption,PP,natural gasoline (pentanes plus),TC,total consumption,P,thousand barrels
PQACB,propane consumed by the transportation sector,PQ,propane,AC,transportation sector,B,billion btu
PQACD,propane price in the transportation sector,PQ,propane,AC,transportation sector,D,dollars per million btu
PQACP,propane consumed by the transportation sector,PQ,propane,AC,transportation sector,P,thousand barrels
PQACV,propane expenditures in the transportation sector,PQ,propane,AC,transportation sector,V,million dollars
PQCCB,propane consumed by the commercial sector,PQ,propane,CC,commercial sector,B,billion btu
